13,10,15,15,14,8,18,23,8,11,9,9,10,16,15
10,10,22,11,0,3,19,17,0,16,0,24,15,11,20
12,18,12,13,1,10,23,3,5,9,12,3,16,6,4
6,16,9,10,4,13,22,22,23,16,5,16,2,10,13
10,4,14,23,22,11,24,14,6,14,7,10,22,10,7
16,17,23,19,11,5,19,4,11,10,23,19,9,8,15
21,1,15,1,8,19,16,13,17,7,21,12,7,6,5
0,22,15,19,13,22,20,5,0,0,16,0,14,12,0
18,24,6,21,2,7,8,21,3,22,21,15,5,13,21
20,17,12,13,10,24,8,20,23,9,8,24,8,10,13
18,24,6,1,23,6,11,12,2,16,8,22,23,21,24
21,12,4,5,10,5,2,1,4,2,15,23,8,7,14
21,6,19,22,21,10,2,5,20,15,5,17,14,14,11
16,3,5,15,2,5,18,7,9,4,21,11,11,10,3
3,9,21,1,23,2,4,18,4,7,3,15,2,6,12
