4,5,4,4,4,5,1,2,5,3,1,2,1,3,5,,
24,3,22,8,18,23,15,15,21,13,23,20,13,4,14,1,3
3,24,7,9,2,4,20,17,16,21,15,3,8,6,11,0,4
19,16,3,21,4,9,5,11,6,3,9,24,10,11,2,1,5
8,11,16,24,21,14,13,5,19,24,17,18,12,6,10,0,4
23,7,21,17,8,14,9,10,12,13,9,5,8,11,7,0,1
22,22,11,5,6,8,4,12,23,18,9,10,19,10,19,1,3
18,19,18,6,20,17,14,7,7,19,19,20,21,20,3,2,5
8,17,23,12,10,13,19,7,3,19,10,3,21,15,12,3,6
4,11,9,5,24,2,17,12,19,19,19,7,5,7,18,1,7
18,12,6,13,17,3,5,7,6,9,5,17,10,20,5,2,4
24,15,16,18,8,16,4,13,21,3,20,2,17,4,17,1,5
13,8,20,6,22,14,2,23,24,11,15,5,9,23,15,2,6
13,22,18,14,9,20,24,2,3,16,12,6,2,10,18,1,5
10,19,17,21,18,18,23,2,22,9,4,15,10,11,15,0,2
24,6,10,11,15,12,9,19,15,11,15,7,3,19,17,3,8
